timestamp,value,is_anomaly
4021,0.2925719,0
4033,0.05671423,0
4045,0.1447758,0
4057,0.2839503,0
4069,0.03676242,0
4081,0.2153725,0
4093,0.003483756,0
4105,0.3169333,0
4117,0.2598712,0
4129,0.1175388,0
4141,0.1073857,0
4153,0.04031228,0
4165,0.1913619,0
4177,0.008684983,0
4189,0.2265451,0
4201,0.3100528,0
4213,0.2973315,0
4225,-0.1352027,0
4237,-0.1553568,0
4249,0.1508524,0
4261,0.0443133,0
4273,-0.3011199,0
4285,0.006871523,0
4297,0.2057646,0
4309,-0.09977864,0
4321,0.1430245,0
4333,0.04743096,0
4345,0.340703,0
4357,0.06387365,0
4369,0.2193169,0
4381,0.0602158,0
4393,-0.1405787,0
4405,-0.1788659,0
4417,0.144413,0
4429,0.05974309,0
4441,-0.03384165,0
4453,-0.2779436,0
4465,0.008106595,0
4477,0.1403326,0
4489,0.02553264,0
4501,-0.1269614,0
4513,-0.1176837,0
4525,0.1771999,0
4537,-0.2547694,0
4549,-0.1414807,0
4561,-0.03165032,0
4573,-0.03134802,0
4585,-0.06435727,0
4597,-0.03447219,0
4609,0.07859348,0
4621,0.3502191,0
4633,-0.03812704,0
4645,0.4920925,0
4657,0.2168514,0
4669,0.1949717,0
4681,0.1887814,0
4693,-0.1394613,0
4705,0.05810129,0
4717,0.3033329,0
4729,0.3941314,0
4741,0.3814012,0
4753,0.09045257,0
4765,-0.06310011,0
4777,-0.2980011,0
4789,0.2569591,0
4801,-0.0298464,0
4813,0.1796225,0
4825,0.04081454,0
4837,-0.05509449,0
4849,-0.09600747,0
4861,0.3589275,0
4873,-0.02928277,0
4885,-0.1064949,0
4897,0.2493796,0
4909,0.4076345,0
4921,-0.269364,0
4933,-0.05881332,0
4945,-0.3759161,0
4957,0.01117586,0
4969,-0.08031075,0
4981,0.1413473,0
4993,-0.300857,0
5005,0.0588249,0
5017,0.3024903,0
5029,0.3007199,0
5041,0.1889276,0
5053,0.08959537,0
5065,0.4572829,0
5077,0.2386423,0
5089,-0.3717607,0
5101,0.3344119,0
5113,0.3291923,0
5125,0.04674593,0
5137,-0.1405968,0
5149,0.1783525,0
5161,0.3244227,0
5173,-0.07227878,0
5185,0.2301024,0
5197,-0.3263904,0
5209,0.6227645,0
5221,0.08144309,0
5233,0.3350555,0
5245,0.02410141,0
5257,0.462234,0
5269,-0.2514137,0
5281,0.278439,0
5293,0.4750923,0
5305,0.1342278,0
5317,0.2320864,0
5329,0.09927423,0
5341,0.1685977,0
5353,-0.07863379,0
5365,-0.07644325,0
5377,0.4849188,0
5389,0.239917,0
5401,0.03365922,0
5413,-0.06463062,0
5425,0.3088852,0
5437,0.2536563,0
5449,0.03132708,0
5461,0.190041,0
5473,-0.3416405,0
5485,-0.5571763,0
5497,0.3328459,0
5509,0.08418502,0
5521,-0.02023884,0
5533,0.1626338,0
5545,0.2282092,0
5557,0.1794607,0
5569,0.05498409,0
5581,-0.2649419,0
5593,-0.1417588,0
5605,-0.1402964,0
5617,0.1864246,0
5629,-0.24503,0
5641,0.3369405,0
5653,0.1761128,0
5665,-0.001358222,0
5677,-0.1407659,0
5689,0.6530806,0
5701,0.4303533,0
5713,0.2863319,0
5725,0.2813909,0
5737,0.04624067,0
5749,-0.1303806,0
5761,0.1282555,0
5773,0.02663114,0
5785,0.4954986,0
5797,-0.4037835,0
5809,0.1179145,0
5821,-0.1271274,0
5833,0.2903344,0
5845,0.1139541,0
5857,0.1725405,0
5869,-0.07947697,0
5881,0.2847643,0
5893,0.09903681,0
5905,0.08124413,0
5917,0.1173444,0
5929,0.01536406,0
5941,0.02118902,0
5953,0.333019,0
5965,-0.3267907,0
5977,0.3663723,0
5989,0.04929446,0
6001,-0.2005536,0
6013,0.0134074,0
6025,0.465849,0
6037,0.3550019,0
6049,0.07256468,0
6061,-0.07130606,0
6073,-0.04256241,0
6085,-0.2756707,0
6097,0.3729521,0
6109,0.09608161,0
6121,-0.1940996,0
6133,0.5326965,0
6145,0.2107085,0
6157,-0.1413055,0
6169,0.02447232,0
6181,-0.0195633,0
6193,0.2129354,0
6205,-0.2441646,0
6217,0.2313768,0
6229,0.02336446,0
6241,0.04750131,0
6253,0.1117838,0
6265,0.06724332,0
6277,0.0338247,0
6289,0.07163928,0
6301,0.4926229,0
6313,0.3647572,0
6325,0.2326481,0
6337,-0.3067064,0
6349,-0.02742875,0
6361,-0.1603621,0
6373,-0.2573877,0
6385,0.03885709,0
6397,-0.08475535,0
6409,0.1282693,0
6421,-0.1793173,0
6433,-0.02113661,0
6445,0.3438042,0
6457,0.4697009,0
6469,-0.05673634,0
6481,-0.237131,0
6493,0.2169295,0
6505,0.1233702,0
6517,0.08436964,0
6529,0.07792645,0
6541,0.07774124,0
6553,0.1060094,0
6565,0.2114252,0
6577,0.07262353,0
6589,0.2011309,0
6601,0.1179429,0
6613,0.2067216,0
6625,0.215026,0
6637,0.2134952,0
6649,0.3595915,0
6661,-0.08351426,0
6673,0.4101775,0
6685,-0.0575959,0
6697,0.225472,0
6709,0.1245684,0
6721,-0.08819864,0
6733,0.1212205,0
6745,-0.2139124,0
6757,0.1419589,0
6769,0.1480993,0
6781,0.4282768,0
6793,-0.01274089,0
6805,0.1955126,0
6817,0.005064138,0
6829,-0.02141258,0
6841,0.05454971,0
6853,-0.1301885,0
6865,-0.029742,0
6877,0.06646154,0
6889,-0.3315584,0
6901,0.06735551,0
6913,-0.08153162,0
6925,0.237681,0
6937,-0.03004775,0
6949,0.0006834289,0
6961,0.08593041,0
6973,0.1691288,0
6985,0.1489425,0
6997,0.1349978,0
7009,-0.03264156,0
7021,0.05344165,0
7033,-0.3026583,0
7045,0.1737729,0
7057,-0.2249717,0
7069,0.07965978,0
7081,0.003262708,0
7093,0.001468728,0
7105,0.1361499,0
7117,0.2713215,0
7129,0.1556319,0
7141,-0.2531306,0
7153,0.2589772,0
7165,0.01078377,0
7177,-0.1575839,0
7189,0.1319922,0
7201,0.04835565,0
7213,0.3310433,0
7225,0.3331589,0
7237,0.06089301,0
7249,-0.2231125,0
7261,-0.1050986,0
7273,0.6299797,0
7285,-0.0938201,0
7297,0.1245418,0
7309,0.1912356,0
7321,0.004785061,0
7333,0.09020694,0
7345,-0.02526169,0
7357,0.1787679,0
7369,0.1318879,0
7381,0.3075024,0
7393,0.3630153,0
7405,-0.4273119,0
7417,0.1814099,0
7429,0.02941641,0
7441,-0.1155703,0
7453,0.2699066,0
7465,0.301551,0
7477,0.05838988,0
7489,0.2212634,0
7501,0.206091,0
7513,0.5388636,0
7525,0.120737,0
7537,-0.1480167,0
7549,0.1084762,0
7561,0.1760416,0
7573,-0.3785491,0
7585,0.3894958,0
7597,-0.1701425,0
7609,-0.05444238,0
7621,0.06434763,0
7633,0.1118411,0
7645,-0.113323,0
7657,-0.3465498,0
7669,0.008799681,0
7681,-0.1557755,0
7693,0.5539467,0
7705,0.07018956,0
7717,-0.05457497,0
7729,-0.002474303,0
7741,-0.1340379,0
7753,-0.413743,0
7765,-0.03581991,0
7777,-0.1326539,0
7789,0.1913354,0
7801,0.1330699,0
7813,-0.2333946,0
7825,0.2543771,0
7837,-0.3390831,0
7849,0.3570959,0
7861,-0.2280075,0
7873,0.3902698,0
7885,0.01239685,0
7897,-0.05794415,0
7909,0.07317073,0
7921,0.1501745,0
7933,0.4290744,0
7945,-0.2421901,0
7957,0.1069352,0
7969,-0.1793876,0
7981,0.1191361,0
7993,0.277117,0
8005,0.06335475,0
8017,0.3757472,0
8029,0.06012908,0
8041,-0.1130095,0
8053,0.3541108,0
8065,-0.08693212,0
8077,0.006263081,0
8089,-0.008109224,0
8101,-0.0248481,0
8113,0.1376841,0
8125,-0.1298229,0
8137,0.1423713,0
8149,0.4252937,0
8161,0.0006413264,0
8173,0.07077643,0
8185,0.3504336,0
8197,0.02772145,0
8209,0.1080641,0
8221,0.2860414,0
8233,0.1497852,0
8245,0.04895542,0
8257,0.315052,0
8269,0.05113003,0
8281,0.2422367,0
8293,-0.08626582,0
8305,0.1171869,0
8317,0.08864838,0
8329,0.08424378,0
8341,0.0390952,0
8353,0.04801119,0
8365,0.128112,0
8377,0.1926281,0
8389,0.174025,0
8401,0.3557649,0
8413,0.3175543,0
8425,0.3060227,0
8437,0.06834853,0
8449,0.2562044,0
8461,0.3736159,0
8473,-0.07731977,0
8485,0.4021077,0
8497,0.186646,0
8509,0.06451509,0
8521,0.2305568,0
8533,-0.3065776,0
8545,0.02359364,0
8557,-0.02340088,0
8569,0.1047691,0
8581,0.214079,0
8593,0.3313242,0
8605,-0.413941,0
8617,0.3927861,0
8629,-0.1965512,0
8641,-0.0672724,0
8653,-0.05328568,0
8665,0.1487457,0
8677,0.3535986,0
8689,0.01308655,0
8701,-0.02413904,0
8713,0.2413916,0
8725,-0.26057,0
8737,0.09241582,0
8749,-0.01427596,0
8761,-0.1699705,0
8773,0.3178537,0
8785,0.04512492,0
8797,0.08839073,0
8809,-0.2180887,0
8821,0.03284778,0
8833,0.4055703,0
8845,-0.1973831,0
8857,-0.3344939,0
8869,0.3034073,0
8881,0.2004438,0
8893,-0.2169319,0
8905,-0.05539328,0
8917,-0.1328569,0
8929,-0.3447185,0
8941,-0.1935771,0
8953,-0.2392639,0
8965,-0.1233739,0
8977,-0.01751578,0
8989,0.09904829,0
9001,0.7054816,0
9013,0.407125,0
9025,-0.0441022,0
9037,-0.004812998,0
9049,-0.1752271,0
9061,0.3428443,0
9073,-0.1743102,0
9085,0.05289139,0
9097,0.1739936,0
9109,0.5163783,0
9121,-0.003665681,0
9133,0.3980248,0
9145,0.02757171,0
9157,0.1722545,0
9169,0.4331954,0
9181,0.1795225,0
9193,0.4527701,0
9205,0.3377883,0
9217,0.09822003,0
9229,0.4035322,0
9241,-0.06652579,0
9253,-0.02380379,0
9265,-0.0940726,0
9277,0.3159264,0
9289,0.03038819,0
9301,-0.003014945,0
9313,0.1388285,0
9325,0.3319331,0
9337,-0.2097875,0
9349,0.04197526,0
9361,0.1383532,0
9373,0.08716991,0
9385,0.2573406,0
9397,0.1405388,0
9409,-0.298651,0
9421,0.1306291,0
9433,0.02162844,0
9445,0.2415913,0
9457,0.07162906,0
9469,-0.1249218,0
